idSport;nomSport
0;Aikido
1;Air sport
2;Airsoft
3;Alpine Skiing
4;Aquatic
5;Archery
6;Arm Wrestling
7;Athletic
8;Auto Racing
9;Badminton
10;Bandy
11;Baseball
12;Basketball
13;Basque pelota
14;Beach Soccer
15;Behcup
16;Biathlon
17;Billiard
18;Bobsleigh
20;Bocce
21;Boccia
22;Bodyboarding
23;Bodybuilding
24;Boot throwing
25;Boule Lyonnaise
26;Bowling
27;Boxing
29;Broomball
30;Canoeing
31;Casting
32;Chess
33;Cricket
34;Croquet
35;Curling
36;Cycling
37;DanceSport
38;Darts
39;Draughts
40;Elephant Polo
41;Equestrian
42;Fencing
43;Fishing
44;Fistball
45;Floorball
46;Flying disc
47;Foosball
48;Football
49;Game Fishing
50;Goalball
51;Golf
52;Greyhound racing
53;Gymnastic
54;Handball
55;Hapkido Boxing
56;Harness horse racing
57;Hockey
58;Horse racing
59;Horseshoes
60;Hurling
61;Ice hockey
62;Ice skating
63;Intercrosse
64;Judo
65;Ju-jitsu
66;Kabaddi
67;Karate
68;Kendo
69;Kickboxing
70;Muay Thai
71;San Shou
72;Korfball
73;Kung Fu
74;Lacrosse
75;Life saving
76;Luge
77;Mallakhamb
78;Military Sport
79;Miniature golf
80;Mixed martial art
81;Modern Arnis
82;Modern pentathlon
83;Motorcycle sport
84;Mountain running
85;Mountainboarding
86;Mountaineering
87;Muay Thai
88;Netball
89;Orienteering
90;Paddleball
91;Parkour
92;Pesapallo
93;Petanque
94;Pigeon racing
95;Pitch and Putt
96;Pole dance
97;Polo
98;Powerboating
99;Powerlifting
100;Practical shooting
101;Quidditch
102;Racketlon
103;Racquetball
104;Racing
105;Rafting
106;Rogaining
107;Roller sport
108;Rope Skipping
109;Rounders
110;Rowing
111;Rugby Fives
112;Rugby league
113;Rugby union
114;Sailing
115;Sambo
116;Sepak Takraw
117;Shinty
118;Shooting
119;Shuttlecock
120;Skateboarding
121;Ski mountaineering
122;Skibobbing
123;Skiing
124;Sled dog sports
125;Soft Tennis
126;Sports climbing
127;Sports fishing
128;Squash
129;Sumo
130;bodyboarding
131;Surfing
132;Swimming
133;Table hockey
134;Table Soccer
135;Table Tennis
136;Taekwondo
137;Tchoukball
138;Tennis
139;Tent Pegging
140;Throwball
141;Touch football
142;Triathlon
143;Tug-of-war
144;Underwater sports
145;VolleyballandBeach volleyball
146;Vovinam
147;Water skiing
148;Weightlifting
149;Wheelchair basketball
150;Wheelchair curling
151;Wheelchair Dance Sport
152;Wheelchair Fencing
153;Wheelchair rugby
154;Wheelchair tennis
155;Wrestling
156;Wushu
157;Yoga
158;Skeleton
